EggNOG,locus_tag,old_locus_tag,COG,minPos,maxPos,Orient,gene_id,NCBI_desc,protein_id,gi_id,pfam_id,interpro_id,EC_num,unknown,COG_desc,unknown2,NOG_desc
NA,Intergenic_1079_1071272_1071288,Intergenic_1079_1071272_1071288,NA,1071272,1071288,.,Intergenic_1079_1071272_1071288,Intergenic_1079_1071272_1071288,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108X4Q,OG1RF_RS05345,OG1RF_11028,COG0561,1071289,1072068,-,NA,haloacid dehalogenase family hydrolase,AEA93715.1,GI:327534881,PF08282,IPR000150,NA,HR,Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases,S,Hydrolase
NA,Intergenic_1080_1072069_1072282,Intergenic_1080_1072069_1072282,NA,1072069,1072282,.,Intergenic_1080_1072069_1072282,Intergenic_1080_1072069_1072282,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CK6,OG1RF_RS05350,OG1RF_11029,COG0745,1072283,1073002,+,NA,response regulator,AEA93716.1,GI:327534882,"PF00072,PF00486",IPR001789,NA,TK,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain",T,Two component transcriptional regulator (Winged helix family
ENOG4105EB3,OG1RF_RS05355,OG1RF_11030,COG0642,1073002,1074471,+,yclK,sensor histidine kinase,AEA93717.1,GI:327534883,"PF00672,PF00512,PF02518",IPR003594,2.7.13.3,T,Signal transduction histidine kinase,T,Histidine kinase
NA,Intergenic_1082_1074472_1074508,Intergenic_1082_1074472_1074508,NA,1074472,1074508,.,Intergenic_1082_1074472_1074508,Intergenic_1082_1074472_1074508,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108T75,OG1RF_RS05360,OG1RF_11031,NA,1074509,1075060,-,NA,hypothetical protein,AEA93718.1,GI:327534884,NA,NA,NA,NA,NA,E,"ABC, transporter"
NA,Intergenic_1083_1075061_1075074,Intergenic_1083_1075061_1075074,NA,1075061,1075074,.,Intergenic_1083_1075061_1075074,Intergenic_1083_1075061_1075074,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS05365,OG1RF_11032,NA,1075075,1075776,-,NA,hypothetical protein,AEA93719.1,GI:327534885,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1084_1075777_1075881,Intergenic_1084_1075777_1075881,NA,1075777,1075881,.,Intergenic_1084_1075777_1075881,Intergenic_1084_1075777_1075881,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108IW3,OG1RF_RS05370,OG1RF_11033,COG1368,1075882,1077990,-,NA,sulfatase domain protein,AEA93720.1,GI:327534886,PF00884,IPR000917,NA,M,Phosphoglycerol transferase MdoB or a related enzyme of AlkP superfamily,M,Sulfatase
NA,Intergenic_1085_1077991_1078247,Intergenic_1085_1077991_1078247,NA,1077991,1078247,.,Intergenic_1085_1077991_1078247,Intergenic_1085_1077991_1078247,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DR4,OG1RF_RS05375,OG1RF_11034,COG1092,1078248,1079420,+,NA,methyltransferase,AEA93721.1,GI:327534887,NA,NA,2.1.1.-,J,23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI,S,Methyltransferase
NA,Intergenic_1086_1079421_1079486,Intergenic_1086_1079421_1079486,NA,1079421,1079486,.,Intergenic_1086_1079421_1079486,Intergenic_1086_1079421_1079486,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107FSS,OG1RF_RS05380,OG1RF_11035,COG1039,1079487,1080404,-,rnhC,ribonuclease H,AEA93722.1,GI:327534888,PF01351,IPR004641,3.1.26.4,L,Ribonuclease HIII,L,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
NA,Intergenic_1087_1080405_1080622,Intergenic_1087_1080405_1080622,NA,1080405,1080622,.,Intergenic_1087_1080405_1080622,Intergenic_1087_1080405_1080622,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C52,OG1RF_RS05385,OG1RF_11036,COG0474,1080623,1083043,+,NA,E1-E2 family cation-transporting ATPase,AEA93723.1,GI:327534889,"PF00122,PF00702",IPR001757,NA,P,Magnesium-transporting ATPase (P-type),P,"Atpase, p-type (Transporting), had superfamily, subfamily ic"
NA,Intergenic_1088_1083044_1083184,Intergenic_1088_1083044_1083184,NA,1083044,1083184,.,Intergenic_1088_1083044_1083184,Intergenic_1088_1083044_1083184,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG410825U,OG1RF_RS05390,OG1RF_11037,COG4932,1083185,1085071,+,NA,cell wall surface anchor family protein,AEA93724.1,GI:327534890,"PF05737,PF05738,PF00746",IPR011252,NA,S,Uncharacterized surface anchored protein,M,Cna protein B-type domain protein
NA,Intergenic_1089_1085072_1085192,Intergenic_1089_1085072_1085192,NA,1085072,1085192,.,Intergenic_1089_1085072_1085192,Intergenic_1089_1085072_1085192,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105K7D,OG1RF_RS05395,OG1RF_11038,COG0779,1085193,1085750,+,NA,protein of hypothetical function DUF150,AEA93725.1,GI:327534891,PF02576,IPR003728,NA,J,Ribosome maturation factor RimP,S,Required for maturation of 30S ribosomal subunits (By similarity)
NA,NA,OG1RF_11039,NA,1085747,1085875,-,NA,hypothetical protein,AEA93726.1,GI:327534892,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1091_1085876_1085893,Intergenic_1091_1085876_1085893,NA,1085876,1085893,.,Intergenic_1091_1085876_1085893,Intergenic_1091_1085876_1085893,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CHV,OG1RF_RS05400,OG1RF_11040,COG0195,1085894,1087093,+,nusA,transcription termination factor NusA,AEA93727.1,GI:327534893,"PF08529,PF00575",IPR010213,NA,K,"Transcription antitermination factor NusA, contains S1 and KH domains",K,Transcription elongation factor NusA
NA,Intergenic_1092_1087094_1087098,Intergenic_1092_1087094_1087098,NA,1087094,1087098,.,Intergenic_1092_1087094_1087098,Intergenic_1092_1087094_1087098,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105VZN,OG1RF_RS05405,OG1RF_11041,COG2740,1087099,1087413,+,ylxR,cytosolic protein YlxR,AEA93728.1,GI:327534894,PF04296,IPR007393,NA,R,"Predicted RNA-binding protein YlxR, DUF448 family",K,Nucleic-acid-binding protein implicated in transcription termination
ENOG4105VHM,OG1RF_RS05410,OG1RF_11042,COG1358,1087403,1087708,+,rplL,ribosomal protein L7/L12,AEA93729.1,GI:327534895,PF01248,IPR004038,NA,J,Ribosomal protein L7Ae or related RNA K-turn-binding protein,J,ribosomal protein
NA,Intergenic_1094_1087709_1087720,Intergenic_1094_1087709_1087720,NA,1087709,1087720,.,Intergenic_1094_1087709_1087720,Intergenic_1094_1087709_1087720,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107EEM,OG1RF_RS05415,OG1RF_11043,COG0532,1087721,1090117,+,infB,translation initiation factor IF2,AEA93730.1,GI:327534896,"PF04760,PF00009,PF03144",IPR000178,NA,J,"Translation initiation factor IF-2, a GTPase",J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
NA,Intergenic_1095_1090118_1090141,Intergenic_1095_1090118_1090141,NA,1090118,1090141,.,Intergenic_1095_1090118_1090141,Intergenic_1095_1090118_1090141,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105KG7,OG1RF_RS05420,OG1RF_11044,COG0858,1090142,1090492,+,rbfA,ribosome-binding factor A,AEA93731.1,GI:327534897,PF02033,IPR015946,NA,J,Ribosome-binding factor A,J,Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Essential for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA (By similarity)
NA,Intergenic_1096_1090493_1090574,Intergenic_1096_1090493_1090574,NA,1090493,1090574,.,Intergenic_1096_1090493_1090574,Intergenic_1096_1090493_1090574,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS05425,OG1RF_11045,NA,1090575,1090805,+,NA,hypothetical protein,AEA93732.1,GI:327534898,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1097_1090806_1090864,Intergenic_1097_1090806_1090864,NA,1090806,1090864,.,Intergenic_1097_1090806_1090864,Intergenic_1097_1090806_1090864,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105Y9K,OG1RF_RS05430,OG1RF_11046,NA,1090865,1091350,-,NA,hypothetical protein,AEA93733.1,GI:327534899,PF06114,NA,NA,NA,NA,S,phage protein
NA,Intergenic_1098_1091351_1091384,Intergenic_1098_1091351_1091384,NA,1091351,1091384,.,Intergenic_1098_1091351_1091384,Intergenic_1098_1091351_1091384,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108PY0,OG1RF_RS05435,OG1RF_11047,NA,1091385,1091867,-,NA,cro/CI family transcriptional regulator,AEA93734.1,GI:327534900,PF01381,IPR001387,NA,NA,NA,K,Peptidase S24-like protein
NA,Intergenic_1099_1091868_1092083,Intergenic_1099_1091868_1092083,NA,1091868,1092083,.,Intergenic_1099_1091868_1092083,Intergenic_1099_1091868_1092083,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_11048,NA,1092084,1092218,+,NA,hypothetical protein,AEA93735.1,GI:327534901,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1100_1092219_1092248,Intergenic_1100_1092219_1092248,NA,1092219,1092248,.,Intergenic_1100_1092219_1092248,Intergenic_1100_1092219_1092248,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105GVB,OG1RF_RS05445,OG1RF_11049,NA,1092249,1093019,+,NA,DNA replication protein,AEA93736.1,GI:327534902,PF04271,IPR006343,NA,NA,NA,S,Replication Protein
NA,Intergenic_1101_1093020_1093037,Intergenic_1101_1093020_1093037,NA,1093020,1093037,.,Intergenic_1101_1093020_1093037,Intergenic_1101_1093020_1093037,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107ZK2,OG1RF_RS05450,OG1RF_11050,COG1484,1093038,1093880,+,NA,DNA replication protein,AEA93737.1,GI:327534903,PF01695,NA,NA,L,DNA replication protein DnaC,L,dna replication protein
NA,Intergenic_1102_1093881_1093946,Intergenic_1102_1093881_1093946,NA,1093881,1093946,.,Intergenic_1102_1093881_1093946,Intergenic_1102_1093881_1093946,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS05460,OG1RF_11051,NA,1093947,1094339,+,NA,hypothetical protein,AEA93738.1,GI:327534904,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1103_1094340_1094358,Intergenic_1103_1094340_1094358,NA,1094340,1094358,.,Intergenic_1103_1094340_1094358,Intergenic_1103_1094340_1094358,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108D9T,OG1RF_RS05465,OG1RF_11052,NA,1094359,1094766,+,NA,RinA family transcriptional regulator,AEA93739.1,GI:327534905,NA,IPR006523,NA,NA,NA,K,NA
NA,Intergenic_1104_1094767_1094768,Intergenic_1104_1094767_1094768,NA,1094767,1094768,.,Intergenic_1104_1094767_1094768,Intergenic_1104_1094767_1094768,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_11053,NA,1094769,1094906,+,NA,transposase,AEA93740.1,GI:327534906,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1105_1094907_1094987,Intergenic_1105_1094907_1094987,NA,1094907,1094987,.,Intergenic_1105_1094907_1094987,Intergenic_1105_1094907_1094987,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106E9V,OG1RF_RS05470,OG1RF_11054,NA,1094988,1095404,+,NA,hypothetical protein,AEA93741.1,GI:327534907,NA,NA,NA,NA,NA,S,NA
NA,Intergenic_1106_1095405_1095416,Intergenic_1106_1095405_1095416,NA,1095405,1095416,.,Intergenic_1106_1095405_1095416,Intergenic_1106_1095405_1095416,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41065QY,OG1RF_RS05475,OG1RF_11055,NA,1095417,1095929,+,NA,TP901-1 family phage major tail protein,AEA93742.1,GI:327534908,PF06199,IPR009341,NA,NA,NA,S,Phage major tail protein 2
NA,Intergenic_1107_1095930_1095961,Intergenic_1107_1095930_1095961,NA,1095930,1095961,.,Intergenic_1107_1095930_1095961,Intergenic_1107_1095930_1095961,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106D3D,OG1RF_RS05480,OG1RF_11056,NA,1095962,1096321,+,NA,hypothetical protein,AEA93743.1,GI:327534909,NA,NA,NA,NA,NA,S,Phage protein 
NA,Intergenic_1108_1096322_1096338,Intergenic_1108_1096322_1096338,NA,1096322,1096338,.,Intergenic_1108_1096322_1096338,Intergenic_1108_1096322_1096338,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_11057,NA,1096339,1096707,+,NA,hypothetical protein,AEA93744.1,GI:327534910,NA,NA,NA,NA,NA,NA,NA
ENOG4108MNG,OG1RF_RS05490,OG1RF_11058,NA,1096697,1099630,+,NA,ABC superfamily ATP binding cassette transporter permease subunit,AEA93745.1,GI:327534911,NA,NA,NA,NA,NA,S,Tape measure protein
NA,Intergenic_1110_1099631_1099631,Intergenic_1110_1099631_1099631,NA,1099631,1099631,.,Intergenic_1110_1099631_1099631,Intergenic_1110_1099631_1099631,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG410658E,OG1RF_RS05495,OG1RF_11059,NA,1099632,1100558,+,NA,phage tail protein,AEA93746.1,GI:327534912,NA,IPR006520,NA,NA,NA,S,tail component
NA,Intergenic_1111_1100559_1100570,Intergenic_1111_1100559_1100570,NA,1100559,1100570,.,Intergenic_1111_1100559_1100570,Intergenic_1111_1100559_1100570,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105D1R,OG1RF_RS05500,OG1RF_11060,NA,1100571,1102028,+,NA,phage structural protein,AEA93747.1,GI:327534913,NA,IPR007119,NA,NA,NA,S,Phage minor structural protein
NA,Intergenic_1112_1102029_1102060,Intergenic_1112_1102029_1102060,NA,1102029,1102060,.,Intergenic_1112_1102029_1102060,Intergenic_1112_1102029_1102060,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41068G1,OG1RF_RS05505,OG1RF_11061,NA,1102061,1103830,+,NA,hypothetical protein,AEA93748.1,GI:327534914,NA,NA,NA,NA,NA,S,NA
NA,Intergenic_1113_1103831_1103853,Intergenic_1113_1103831_1103853,NA,1103831,1103853,.,Intergenic_1113_1103831_1103853,Intergenic_1113_1103831_1103853,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105XSJ,OG1RF_RS05510,OG1RF_11062,NA,1103854,1104249,+,NA,holin,AEA93749.1,GI:327534915,PF05105,IPR006480,NA,NA,NA,S,toxin secretion phage lysis holin
NA,Intergenic_1114_1104250_1104367,Intergenic_1114_1104250_1104367,NA,1104250,1104367,.,Intergenic_1114_1104250_1104367,Intergenic_1114_1104250_1104367,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105FPE,OG1RF_RS05515,OG1RF_11063,NA,1104368,1105492,+,amiD2,N-acetylmuramoyl-L-alanine amidase,AEA93750.1,GI:327534916,"PF01510,PF08460",IPR002502,3.5.1.28,NA,NA,M,n-acetylmuramoyl-l-alanine amidase
NA,Intergenic_1115_1105493_1105645,Intergenic_1115_1105493_1105645,NA,1105493,1105645,.,Intergenic_1115_1105493_1105645,Intergenic_1115_1105493_1105645,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105D0T,OG1RF_RS05520,OG1RF_11064,COG0130,1105646,1106566,+,truB,tRNA pseudouridine synthase B,AEA93751.1,GI:327534917,PF01509,IPR014780,5.4.99.-,J,"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA",J,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs (By similarity)
NA,Intergenic_1116_1106567_1106591,Intergenic_1116_1106567_1106591,NA,1106567,1106591,.,Intergenic_1116_1106567_1106591,Intergenic_1116_1106567_1106591,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DTN,OG1RF_RS05525,OG1RF_11065,COG0196,1106592,1107542,+,ribF,riboflavin biosynthesis protein RibF,AEA93752.1,GI:327534918,"PF06574,PF01687",IPR002606,2.7.1.26;2.7.7.2,H,FAD synthase,H,riboflavin biosynthesis protein ribF
ENOG4108YYD,OG1RF_RS05530,OG1RF_11066,COG3153,1107542,1108138,+,NA,GNAT family acetyltransferase,AEA93753.1,GI:327534919,PF00583,NA,NA,R,Predicted N-acetyltransferase YhbS,S,acetyltransferase
NA,Intergenic_1118_1108139_1108287,Intergenic_1118_1108139_1108287,NA,1108139,1108287,.,Intergenic_1118_1108139_1108287,Intergenic_1118_1108139_1108287,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105S0V,OG1RF_RS05535,OG1RF_11067,COG1695,1108288,1108611,+,NA,PadR family transcriptional regulator,AEA93754.1,GI:327534920,PF03551,IPR011991,NA,K,"DNA-binding transcriptional regulator, PadR family",K,Transcriptional regulator
NA,Intergenic_1119_1108612_1108614,Intergenic_1119_1108612_1108614,NA,1108612,1108614,.,Intergenic_1119_1108612_1108614,Intergenic_1119_1108612_1108614,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108ZFG,OG1RF_RS05540,OG1RF_11068,NA,1108615,1108956,+,NA,hypothetical protein,AEA93755.1,GI:327534921,PF06304,IPR008316,NA,NA,NA,S,Protein of unknown function (DUF1048)
NA,Intergenic_1120_1108957_1108981,Intergenic_1120_1108957_1108981,NA,1108957,1108981,.,Intergenic_1120_1108957_1108981,Intergenic_1120_1108957_1108981,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41067Y3,OG1RF_RS05545,OG1RF_11069,NA,1108982,1109242,+,NA,putative transcriptional regulator,AEA93756.1,GI:327534922,NA,NA,NA,NA,NA,K,Uncharacterized protein conserved in bacteria (DUF2087)
NA,Intergenic_1121_1109243_1109400,Intergenic_1121_1109243_1109400,NA,1109243,1109400,.,Intergenic_1121_1109243_1109400,Intergenic_1121_1109243_1109400,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CNI,OG1RF_RS05550,OG1RF_11070,COG0772,1109401,1110576,+,NA,FtsW/RodA/SpovE family cell division protein,AEA93757.1,GI:327534923,PF01098,IPR001182,NA,D,"Bacterial cell division protein FtsW, lipid II flippase",D,cell division protein FtsW
ENOG4105CNI,OG1RF_RS05555,OG1RF_11071,COG0772,1110542,1111690,+,NA,FtsW/RodA/SpovE family cell division protein,AEA93758.1,GI:327534924,PF01098,IPR001182,NA,D,"Bacterial cell division protein FtsW, lipid II flippase",D,cell division protein FtsW
NA,Intergenic_1123_1111691_1111751,Intergenic_1123_1111691_1111751,NA,1111691,1111751,.,Intergenic_1123_1111691_1111751,Intergenic_1123_1111691_1111751,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105HJE,OG1RF_RS05560,OG1RF_11072,COG0583,1111752,1112639,-,NA,transcriptional regulator,AEA93759.1,GI:327534925,"PF00126,PF03466",IPR011991,NA,K,"DNA-binding transcriptional regulator, LysR family",K,transcriptional regulator
NA,Intergenic_1124_1112640_1112662,Intergenic_1124_1112640_1112662,NA,1112640,1112662,.,Intergenic_1124_1112640_1112662,Intergenic_1124_1112640_1112662,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DND,OG1RF_RS05565,OG1RF_11073,NA,1112663,1113538,-,NA,LysR family transcriptional regulator,AEA93760.1,GI:327534926,"PF00126,PF03466",IPR005119,NA,NA,NA,K,Transcriptional regulator
NA,Intergenic_1125_1113539_1114074,Intergenic_1125_1113539_1114074,NA,1113539,1114074,.,Intergenic_1125_1113539_1114074,Intergenic_1125_1113539_1114074,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108C3H,OG1RF_RS05570,OG1RF_11074,COG0474,1114075,1116735,+,mgtA,magnesium-importing ATPase,AEA93761.1,GI:327534927,"PF00690,PF00122,PF00702",IPR006415,3.6.3.2,P,Magnesium-transporting ATPase (P-type),P,Magnesium-importing ATPase
NA,Intergenic_1126_1116736_1116942,Intergenic_1126_1116736_1116942,NA,1116736,1116942,.,Intergenic_1126_1116736_1116942,Intergenic_1126_1116736_1116942,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CSA,OG1RF_RS05575,OG1RF_11075,COG0635,1116943,1118127,+,hemN,coproporphyrinogen dehydrogenase,AEA93762.1,GI:327534928,"PF04055,PF06969",IPR004559,1.3.99.22,H,Coproporphyrinogen III oxidase or related Fe-S oxidoreductase,H,Coproporphyrinogen iii oxidase
NA,Intergenic_1127_1118128_1118352,Intergenic_1127_1118128_1118352,NA,1118128,1118352,.,Intergenic_1127_1118128_1118352,Intergenic_1127_1118128_1118352,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CI8,OG1RF_RS05580,OG1RF_11076,COG1420,1118353,1119396,+,hrcA,heat-inducible transcription repressor HrcA,AEA93763.1,GI:327534929,PF01628,IPR002571,NA,K,Transcriptional regulator of heat shock response,K,Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons (By similarity)
NA,Intergenic_1128_1119397_1119450,Intergenic_1128_1119397_1119450,NA,1119397,1119450,.,Intergenic_1128_1119397_1119450,Intergenic_1128_1119397_1119450,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105K90,OG1RF_RS05585,OG1RF_11077,COG0576,1119451,1119990,+,grpE,co-chaperone GrpE,AEA93764.1,GI:327534930,PF01025,IPR000740,NA,O,Molecular chaperone GrpE (heat shock protein),O,"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ"
NA,Intergenic_1129_1119991_1120049,Intergenic_1129_1119991_1120049,NA,1119991,1120049,.,Intergenic_1129_1119991_1120049,Intergenic_1129_1119991_1120049,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS05590,OG1RF_11078,COG0443,1120050,1121879,+,dnaK,chaperone DnaK,AEA93765.1,GI:327534931,PF00012,IPR012725,NA,O,Molecular chaperone DnaK (HSP70),NA,NA
NA,Intergenic_1130_1121880_1121993,Intergenic_1130_1121880_1121993,NA,1121880,1121993,.,Intergenic_1130_1121880_1121993,Intergenic_1130_1121880_1121993,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS05595,OG1RF_11079,NA,1121994,1122116,+,NA,hypothetical protein,AEA93766.1,GI:327534932,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1131_1122117_1122170,Intergenic_1131_1122117_1122170,NA,1122117,1122170,.,Intergenic_1131_1122117_1122170,Intergenic_1131_1122117_1122170,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105BZ5,OG1RF_RS05600,OG1RF_11080,COG0484,1122171,1123340,+,dnaJ,chaperone DnaJ,AEA93767.1,GI:327534933,"PF00226,PF00684,PF01556",IPR012724,NA,O,DnaJ-class molecular chaperone with C-terminal Zn finger domain,O,"ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)"
NA,Intergenic_1132_1123341_1123389,Intergenic_1132_1123341_1123389,NA,1123341,1123389,.,Intergenic_1132_1123341_1123389,Intergenic_1132_1123341_1123389,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_11081,NA,1123390,1123557,+,NA,hypothetical protein,AEA93768.1,GI:327534934,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1133_1123558_1123578,Intergenic_1133_1123558_1123578,NA,1123558,1123578,.,Intergenic_1133_1123558_1123578,Intergenic_1133_1123558_1123578,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108YHM,OG1RF_RS05605,OG1RF_11082,COG0639,1123579,1124313,+,NA,serine/threonine protein phosphatase,AEA93769.1,GI:327534935,PF00149,NA,NA,T,"Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family",T,serine threonine protein phosphatase
NA,Intergenic_1134_1124314_1124410,Intergenic_1134_1124314_1124410,NA,1124314,1124410,.,Intergenic_1134_1124314_1124410,Intergenic_1134_1124314_1124410,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105BZM,OG1RF_RS05610,OG1RF_11083,COG2183,1124411,1126603,+,yhgF,YhgF like protein,AEA93770.1,GI:327534936,PF00575,IPR006641,NA,K,Transcriptional accessory protein Tex/SPT6,K,domain protein
NA,Intergenic_1135_1126604_1126605,Intergenic_1135_1126604_1126605,NA,1126604,1126605,.,Intergenic_1135_1126604_1126605,Intergenic_1135_1126604_1126605,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG410906U,OG1RF_RS05615,OG1RF_11084,COG3091,1126606,1127091,+,NA,SprT family protein,AEA93771.1,GI:327534937,PF03926,IPR006640,3.4.24.-,R,"Predicted Zn-dependent metalloprotease, SprT family",S,SprT-like
NA,Intergenic_1136_1127092_1127159,Intergenic_1136_1127092_1127159,NA,1127092,1127159,.,Intergenic_1136_1127092_1127159,Intergenic_1136_1127092_1127159,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1137_1127247_1127489,Intergenic_1137_1127247_1127489,NA,1127247,1127489,.,Intergenic_1137_1127247_1127489,Intergenic_1137_1127247_1127489,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CHM,OG1RF_RS05625,OG1RF_11085,COG0436,1127490,1128707,+,aspC,aspartate aminotransferase,AEA93772.1,GI:327534938,PF00155,IPR004839,2.6.1.1,E,Aspartate/methionine/tyrosine aminotransferase,E,Aminotransferase
NA,Intergenic_1138_1128708_1128772,Intergenic_1138_1128708_1128772,NA,1128708,1128772,.,Intergenic_1138_1128708_1128772,Intergenic_1138_1128708_1128772,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41072C4,OG1RF_RS05630,OG1RF_11086,NA,1128773,1128949,-,NA,hypothetical protein,AEA93773.1,GI:327534939,NA,NA,NA,NA,NA,S,NA
NA,Intergenic_1139_1128950_1129126,Intergenic_1139_1128950_1129126,NA,1128950,1129126,.,Intergenic_1139_1128950_1129126,Intergenic_1139_1128950_1129126,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105HFE,OG1RF_RS05635,OG1RF_11087,NA,1129127,1129954,+,NA,cro/CI family transcriptional regulator,AEA93774.1,GI:327534940,PF01381,IPR001387,NA,NA,NA,K,Transcriptional regulator
NA,Intergenic_1140_1129955_1130048,Intergenic_1140_1129955_1130048,NA,1129955,1130048,.,Intergenic_1140_1129955_1130048,Intergenic_1140_1129955_1130048,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CE4,OG1RF_RS05640,OG1RF_11088,COG1820,1130049,1131203,+,nagA,N-acetylglucosamine-6-phosphate deacetylase,AEA93775.1,GI:327534941,PF01979,IPR003764,3.5.1.25,G,N-acetylglucosamine-6-phosphate deacetylase,G,GlcNAc 6-P deacetylase
NA,Intergenic_1141_1131204_1131245,Intergenic_1141_1131204_1131245,NA,1131204,1131245,.,Intergenic_1141_1131204_1131245,Intergenic_1141_1131204_1131245,NA,NA,NA,NA,NA,NA,NA,NA,NA
